Column1,match,Team,bowlerName,overs.1,overs.2,maiden,runs,wickets,economy,zeros,fours,sixes,wides,noBalls,match_id,Balls
28,Scotland Vs West Indies,West Indies,Jason Holder,3,0,0,14,2,4.66,8,1,0,0,0,T20I # 1826,18
29,Scotland Vs West Indies,West Indies,Odean Smith,4,0,0,31,1,7.75,6,3,0,1,0,T20I # 1826,24
30,Scotland Vs West Indies,Scotland,Mark Watt,4,0,0,12,3,3,16,1,0,1,0,T20I # 1826,24
31,Scotland Vs West Indies,Scotland,Brad Wheal,4,0,0,32,2,8,10,4,1,0,0,T20I # 1826,24
32,Scotland Vs West Indies,Scotland,Josh Davey,3,0,0,34,1,11.33,8,4,2,1,0,T20I # 1826,18
33,Scotland Vs West Indies,Scotland,Safyaan Sharif,3,3,0,23,1,6.57,7,2,0,2,0,T20I # 1826,21
34,Scotland Vs West Indies,Scotland,Michael Leask,4,0,0,15,2,3.75,11,0,0,1,0,T20I # 1826,24
35,Zimbabwe Vs Ireland,Ireland,Josh Little,4,0,0,24,3,6,11,3,0,0,0,T20I # 1828,24
36,Zimbabwe Vs Ireland,Ireland,Mark Adair,4,0,0,39,2,9.75,6,3,1,2,0,T20I # 1828,24
37,Zimbabwe Vs Ireland,Ireland,Barry McCarthy,4,0,0,24,0,6,11,2,0,2,0,T20I # 1828,24
38,Zimbabwe Vs Ireland,Ireland,Curtis Campher,3,0,0,29,0,9.66,6,2,2,0,0,T20I # 1828,18
39,Zimbabwe Vs Ireland,Ireland,Simi Singh,3,0,0,31,2,10.33,5,2,2,1,0,T20I # 1828,18
40,Zimbabwe Vs Ireland,Ireland,Gareth Delany,2,0,0,21,0,10.5,4,2,1,1,0,T20I # 1828,12
41,Zimbabwe Vs Ireland,Zimbabwe,Richard Ngarava,4,0,0,22,2,5.5,13,3,0,0,0,T20I # 1828,24
42,Zimbabwe Vs Ireland,Zimbabwe,Tendai Chatara,4,0,0,22,2,5.5,13,1,1,2,0,T20I # 1828,24
43,Zimbabwe Vs Ireland,Zimbabwe,Blessing Muzarabani,4,0,0,23,3,5.75,14,0,2,0,1,T20I # 1828,24
44,Zimbabwe Vs Ireland,Zimbabwe,Luke Jongwe,2,0,0,24,0,12,1,4,0,0,0,T20I # 1828,12
45,Zimbabwe Vs Ireland,Zimbabwe,Sean Williams,3,0,0,20,1,6.66,3,0,0,0,0,T20I # 1828,18
46,Zimbabwe Vs Ireland,Zimbabwe,Sikandar Raza,3,0,0,22,1,7.33,8,1,1,1,0,T20I # 1828,18
47,Namibia Vs Netherlands,Netherlands,Fred Klaassen,3,0,0,15,0,5,11,1,0,0,0,T20I # 1830,18
48,Namibia Vs Netherlands,Netherlands,Tim Pringle,3,0,0,15,1,5,8,0,0,0,0,T20I # 1830,18
49,Namibia Vs Netherlands,Netherlands,Bas de Leede,3,0,0,18,2,6,6,1,0,0,0,T20I # 1830,18
50,Namibia Vs Netherlands,Netherlands,Colin Ackermann,3,0,0,17,1,5.66,8,2,0,0,0,T20I # 1830,18
51,Namibia Vs Netherlands,Netherlands,Paul van Meekeren,4,0,0,18,1,4.5,11,1,0,1,0,T20I # 1830,24
52,Namibia Vs Netherlands,Netherlands,Timm van der Gugten,3,0,0,29,0,9.66,4,1,1,2,0,T20I # 1830,18
53,Namibia Vs Netherlands,Netherlands,Roelof van der Merwe,1,0,0,6,1,6,1,0,0,1,0,T20I # 1830,6
54,Namibia Vs Netherlands,Namibia,Bernard Scholtz,4,0,0,21,1,5.25,10,0,1,0,0,T20I # 1830,24
55,Namibia Vs Netherlands,Namibia,David Wiese,2,3,0,22,0,8.8,4,3,0,0,0,T20I # 1830,15
56,Namibia Vs Netherlands,Namibia,Gerhard Erasmus,3,0,0,13,0,4.33,8,0,0,1,0,T20I # 1830,18
57,Namibia Vs Netherlands,Namibia,Ben Shikongo,1,0,0,18,0,18,1,0,2,1,0,T20I # 1830,6
58,Namibia Vs Netherlands,Namibia,JJ Smit,4,0,0,24,2,6,9,2,0,0,0,T20I # 1830,24
59,Namibia Vs Netherlands,Namibia,Jan Frylinck,4,0,1,16,1,4,11,1,0,0,0,T20I # 1830,24
60,Namibia Vs Netherlands,Namibia,Jan Nicol Loftie-Eaton,1,0,0,8,0,8,2,1,0,0,1,T20I # 1830,6
61,Sri Lanka Vs U.A.E.,U.A.E.,Junaid Siddique,4,0,0,36,0,9,8,2,1,2,0,T20I # 1832,24
62,Sri Lanka Vs U.A.E.,U.A.E.,Kashif Daud,1,0,0,14,0,14,0,2,0,0,0,T20I # 1832,6
63,Sri Lanka Vs U.A.E.,U.A.E.,Zahoor Khan,4,0,0,26,2,6.5,10,3,0,0,0,T20I # 1832,24
64,Sri Lanka Vs U.A.E.,U.A.E.,Aayan Afzal Khan,3,0,0,16,1,5.33,7,1,0,0,0,T20I # 1832,18
65,Sri Lanka Vs U.A.E.,U.A.E.,Aryan Lakra,3,0,0,24,1,8,5,3,0,0,0,T20I # 1832,18
66,Sri Lanka Vs U.A.E.,U.A.E.,Karthik Meiyappan,4,0,0,19,3,4.75,12,0,1,0,0,T20I # 1832,24
67,Sri Lanka Vs U.A.E.,U.A.E.,Basil Hameed,1,0,0,13,0,13,1,1,1,0,0,T20I # 1832,6
68,Sri Lanka Vs U.A.E.,Sri Lanka,Pramod Madushan,3,0,0,14,1,4.66,12,2,0,1,0,T20I # 1832,18
69,Sri Lanka Vs U.A.E.,Sri Lanka,Maheesh Theekshana,3,1,0,15,2,4.73,10,2,0,0,0,T20I # 1832,19
70,Sri Lanka Vs U.A.E.,Sri Lanka,Dushmantha Chameera,3,5,0,15,3,3.91,16,0,1,0,0,T20I # 1832,23
71,Sri Lanka Vs U.A.E.,Sri Lanka,Chamika Karunaratne,2,0,0,14,0,7,5,2,0,0,0,T20I # 1832,12
72,Sri Lanka Vs U.A.E.,Sri Lanka,Wanindu Hasaranga de Silva,4,0,1,8,3,2,17,0,0,0,0,T20I # 1832,24
73,Sri Lanka Vs U.A.E.,Sri Lanka,Dasun Shanaka,1,1,0,7,1,6,3,0,0,1,0,T20I # 1832,7
74,Scotland Vs Ireland,Ireland,Josh Little,4,0,0,30,1,7.5,10,2,1,1,0,T20I # 1833,24
75,Scotland Vs Ireland,Ireland,Mark Adair,4,0,0,23,1,5.75,12,2,0,2,0,T20I # 1833,24
76,Scotland Vs Ireland,Ireland,Barry McCarthy,4,0,0,59,0,14.75,4,6,3,1,1,T20I # 1833,24
77,Scotland Vs Ireland,Ireland,Gareth Delany,3,0,0,28,0,9.33,3,2,1,0,0,T20I # 1833,18
78,Scotland Vs Ireland,Ireland,Simi Singh,2,0,0,16,0,8,2,2,0,0,0,T20I # 1833,12
79,Scotland Vs Ireland,Ireland,Curtis Campher,2,0,0,9,2,4.5,7,1,0,0,0,T20I # 1833,12
80,Scotland Vs Ireland,Ireland,George Dockrell,1,0,0,9,0,9,1,1,0,0,0,T20I # 1833,6
81,Scotland Vs Ireland,Scotland,Mark Watt,4,0,0,39,1,9.75,10,2,1,2,0,T20I # 1833,24
82,Scotland Vs Ireland,Scotland,Brad Wheal,4,0,0,25,1,6.25,11,2,1,0,0,T20I # 1833,24
83,Scotland Vs Ireland,Scotland,Josh Davey,4,0,0,46,0,11.5,5,8,0,1,0,T20I # 1833,24
